100 1416
78 96 30
78 82 10
79 92 16
79 90 3
79 94 4
79 80 20
79 91 38
79 98 9
80 99 28
80 86 19
80 84 9
81 89 32
81 85 3
81 82 15
81 95 8
81 99 6
81 84 16
81 90 9
82 87 33
82 88 17
82 97 24
82 86 22
82 95 14
82 84 28
83 93 24
83 89 5
83 91 10
83 85 20
83 95 26
83 90 14
83 98 7
84 95 13
84 91 20
85 91 12
85 87 17
85 86 10
85 93 6
86 98 21
86 96 21
86 94 17
86 89 15
86 88 11
87 90 1
87 88 8
87 92 5
87 91 34
87 95 41
88 89 21
88 96 17
88 90 30
88 99 1
89 90 2
89 91 7
89 92 26
90 95 18
90 94 22
90 99 12
90 93 14
91 96 10
91 98 7
92 99 5
92 96 75
92 95 14
94 98 17
94 95 1
95 99 14
